ImageName,Description,agreeableness,anger,anticipation,arrogance,disagreeableness,disgust,fear,gratitude,happiness,humility,love,optimism,pessimism,regret,sadness,shame,shyness,surprise,trust,neutral
58c6237dedc2c9c7dc0de1ae.jpg,"In the Luxembourg Garden.  The painting depicts a lively scene in a park, with a woman sitting on a chair and another woman standing nearby. There are several other people in the park, some of them sitting on chairs as well.

A notable feature of the painting is the presence of a lion statue, which adds an element of surprise and interest to the scene. The park is also filled with various objects, such as a handbag, a bird, and a couple of umbrellas. The overall atmosphere of the painting is vibrant and full of life.",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
577280dfedc2cb3880f28e76.jpg,"The Marriage of Heaven and Hell.  The image is a black and white drawing of a person holding a light, surrounded by various other figures. The main figure is positioned in the center of the drawing, with the light source emanating from their hand. The other figures are scattered throughout the drawing, with some closer to the main figure and others further away. The drawing captures a sense of depth and complexity, showcasing the artist's skill in creating a visually engaging piece.",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57727f2dedc2cb3880ed5fa9.jpg,"Uncle Piacsek in front of the Black Sideboard.  The image is a painting of a room with a dining table in the center. On the table, there are several cups, bowls, and a vase. A person is sitting at the table, while another person is standing nearby. The room also features a couch and a potted plant, adding to the cozy atmosphere.

There are multiple oranges scattered throughout the room, with some placed on the dining table and others on the floor. The painting captures the essence of a comfortable and inviting living space.",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
58d1240cedc2c94f900fc610.jpg,"Monk. For the Play &#39;Mazeppa&#39;.  The image features a person wearing a red and black outfit, holding a book in their hand. The person appears to be a woman, and she is standing in front of a book. The book is open, and the person seems to be reading it. The scene is set against a backdrop of a building, giving the impression of an urban environment.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57727de7edc2cb3880e91f26.jpg,"The Defence of Sarago&#231;a.  The painting depicts a group of people gathered around a large wheel or cart. There are at least nine people in the scene, with some standing closer to the wheel and others positioned further away. The individuals appear to be engaged in conversation or observing the cart.

The cart itself is quite large, occupying a significant portion of the image. The people surrounding the cart seem to be enjoying their time together, creating a lively atmosphere. The painting captures the essence of a social gathering or event involving the cart.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
57728297edc2cb3880f81f5b.jpg,"In a Village Near Paris (Street in Paris, Pink Sky).  The image is a painting of a bustling city street filled with people. There are at least 13 people visible in the scene, some walking and others standing. The people are scattered throughout the street, with some closer to the foreground and others further back.

The street is lined with buildings, and there are two clocks visible in the scene, one near the center and the other towards the right side. A handbag can also be seen, likely belonging to one of the people in the scene. The overall atmosphere of the painting is lively and energetic, capturing the essence of a busy urban environment.",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5772797dedc2cb3880db5504.jpg,"Last Supper.  The image depicts a group of people gathered around a dining table. There are at least 13 people in the scene, with some sitting and others standing. The people are engaged in conversation and enjoying each other's company.

The dining table is set with various items, including a wine glass, a cup, a bowl, and a spoon. There are also two vases placed on the table, adding to the ambiance of the gathering. The overall atmosphere of the painting suggests a warm and inviting social event.",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
57726e48edc2cb3880b69b14.jpg,"Spring.  The image features a woman riding a horse through a lush green field. The woman is positioned in the center of the scene, and the horse is located towards the right side of the image. The field is filled with trees, creating a serene and picturesque environment. The woman appears to be enjoying her ride, taking in the beauty of the landscape.",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
57728255edc2cb3880f7644a.jpg,"Mirror and Crushed Shells.  The image features a room with a mirror on the wall. The mirror reflects a pile of rocks, creating an interesting visual effect. The room also has a wooden floor, which adds to the overall ambiance of the space. The mirror's reflection of the rocks adds depth and intrigue to the scene.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5772843bedc2cb3880fd334d.jpg,"One Ton Prop (House of Cards).  The image features a large, square-shaped metal box or sculpture, which appears to be made of metal. The box is placed on a wooden floor, and its surface is covered in a layer of dirt. The box's design and the wooden floor create a contrast between the metal and the wooden elements in the scene.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577285b4edc2cb388001c741.jpg,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints.  The image is a blue and white painting of a beach scene. The painting features a pier with a fence, and there are two palm trees on the left side of the painting. The beach is depicted with a few birds flying in the sky, adding to the lively atmosphere. The painting captures the essence of a beautiful beach setting.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5772898cedc2cb38800df3fd.jpg,"Admiral John Forbes (1714–1796).  The image features a man dressed in a military uniform, possibly a British soldier, wearing a blue coat and a white shirt. He is staring directly at the viewer, giving the impression of being the focal point of the painting. The man appears to be in a serious or contemplative mood, possibly reflecting on his experiences or the challenges he faces. The painting captures the man's presence and the viewer's attention.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5772849eedc2cb3880fe72ab.jpg,"Untitled.  The image features a blue background with a spoon and a pill on it. The spoon is located towards the right side of the image, while the pill is situated more towards the center. The blue color of the background creates a contrasting effect with the white pill and the silver spoon.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
577282b3edc2cb3880f89e19.jpg,"Toile d&#233;coup&#233;e.  The image features a large, square-shaped painting with a purple background. The purple background is the dominant color in the painting, creating a striking contrast with the rest of the artwork. The square painting is displayed on a white wall, which further emphasizes the purple hue. The artwork appears to be a modern piece, possibly inspired by the color palette of the famous artist, Mark Rothko.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
577284a7edc2cb3880fe813a.jpg,"Dances at the Spring.  The image is a painting of two people standing close to each other. They are positioned in the center of the painting, with one person on the left and the other on the right. The painting is a mix of abstract and figurative elements, creating a unique and intriguing visual experience. The two people appear to be interacting or engaging in a shared activity, making the painting a captivating representation of human connection.",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
57727ca4edc2cb3880e54008.jpg,"Madonna and Child.  The image features a woman sitting on a chair, holding a baby in her arms. The woman appears to be a nun, as she is wearing a blue dress. The baby she is holding is positioned close to her chest, and the woman seems to be looking down at the baby. The scene is set in a room with a bench visible in the background.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
57726ff3edc2cb3880bc56a7.jpg,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804.  The image is a painting of a royal court scene, likely depicting a coronation or a significant event involving the royal family. The painting features a group of people, including a man and a woman, who appear to be the main subjects. The man is kneeling down, possibly presenting a gift or offering his respect to the woman.

There are several other people in the scene, some of whom are standing or sitting, while others are kneeling or sitting on chairs. The painting captures the atmosphere of a formal and ceremonial event, with the subjects dressed in elegant attire.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
577288deedc2cb38800bdf0f.jpg,"Untitled.  The image is a black and white painting of a bird, possibly a peacock, with its wings spread wide. The bird is the main focus of the painting, and its wings are the most prominent feature. The painting is displayed on a wall, showcasing the artwork in a room.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57726e25edc2cb3880b60a8b.jpg,"The Sick Child (later).  The image depicts a man and a woman sitting together on a bed. The woman is wearing a green dress, and the man is wearing a black suit. They appear to be engaged in a conversation or a shared activity.

There are two wine glasses in the scene, one placed near the woman and the other near the man. A bottle is also visible in the background, possibly indicating that they are enjoying a drink together. The overall atmosphere of the painting suggests a sense of intimacy and companionship between the two individuals.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
577288ddedc2cb38800bde1d.jpg,"Peinture-Relief.  The image features a white, textured fabric with a pattern of small squares. The fabric appears to be a canvas or a piece of artwork, possibly made of woven or knitted material. The squares on the fabric are of various sizes, creating a visually interesting pattern. The overall effect is a unique and eye-catching piece of artwork.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
